"","Solubility","MolWt","MolLogP","MolMR","HeavyAtomCount","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumValenceElectrons","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","RingCount","TPSA","LabuteASA","BalabanJ","BertzCT","Group_num","Lipinski"
"1",-1.65,162.152,0.0215199999999999,42.6907,12,4,1,5,0,60,2,0,0,2,71.53,67.5181237894586,2.97518059647342,476.035224843126,1,0
"2",-2.69,162.156,-0.4158,43.9528,12,6,2,6,0,60,2,0,0,2,103.6,67.6714409690436,2.89206504517352,425.307866193448,1,0
"3",-5.93,358.522,5.23020000000001,101.498,26,3,0,3,3,144,0,3,4,4,43.37,157.491639327848,1.55402409724078,635.364188667906,1,1
"4",-1.13,230.195,-0.0235,52.2807,16,5,1,7,4,88,1,0,0,1,81.16,89.6690280725328,2.82184606163615,491.017732030934,1,0
"5",-2.71,212.212,1.70426,58.7302,16,5,1,5,3,78,1,0,0,1,89.04,92.6181158441644,2.78394349574986,486.271479626502,1,0
"6",-3.36,163.14,-0.7047,42.3661,12,5,2,6,0,60,2,0,0,2,97.55,66.4930723720747,2.98761204019471,476.567293818766,1,0
"7",-3.97,163.14,-0.7047,42.3661,12,5,2,6,0,60,2,0,0,2,97.55,66.4930723720747,2.99217526015592,476.567293818766,1,0
"8",-2.69,164.124,-0.9936,40.7794,12,4,2,6,0,60,2,0,0,2,91.5,65.3147037751057,3.03251162187545,478.049390451204,1,0
"9",-2.84,221.216,0.6141,58.0641,16,4,2,6,3,84,1,0,0,1,93.78,92.0829723933937,2.60435344487574,411.822360466212,1,0
"10",-2.82,164.124,-0.9936,40.7794,12,4,2,6,0,60,2,0,0,2,91.5,65.3147037751057,3.05707643935184,526.549390451204,1,0
"11",-0.09,175.195,0.4858,49.455,13,5,0,5,1,66,2,0,0,2,54.8,75.4813774740148,2.61987386972831,425.558829557009,3,0
"12",-2.96,164.124,-0.9936,40.7794,12,4,2,6,0,60,2,0,0,2,91.5,65.3147037751057,3.07502865948644,526.549390451204,1,0
"13",-2.91,263.341,2.2031,73.2219,19,3,2,5,7,104,1,0,0,1,71.09,113.328434717552,2.14549439550503,392.937367104954,1,0
"14",-6.19,372.549,5.62030000000001,106.115,27,3,0,3,4,150,0,3,4,4,43.37,163.856581442245,1.51349818487559,650.011726309394,1,1
"15",-3.52,236.283,2.022,65.8404,17,6,1,8,6,92,1,0,0,1,116.69,99.513446134707,2.97001778891042,411.456922580797,1,0
"16",-3,209.161,1.323,51.9638,15,5,0,7,3,78,1,1,1,2,89.29,84.2212413099639,2.48050602900812,441.512964200963,1,0
"17",-2.57,237.255,2.5704,63.0127,17,4,1,5,4,92,1,0,0,1,64.63,99.721052648586,2.49928520152776,385.997031550934,1,0
"18",-1.66,244.222,0.3666,56.8977,17,5,1,7,5,94,1,0,0,1,81.16,96.0339701869294,2.70047195000675,505.762741192802,1,0
"19",-3.48,225.281,2.3556,59.1727,15,6,1,8,4,80,1,0,0,1,99.46,91.356809747671,3.04616524042091,384.925132191781,3,0
"20",-1.55,178.22,1.1417,46.909,12,5,0,5,1,60,2,0,0,2,51.56,73.4797117147801,2.67399646276156,403.283438329728,1,0
"21",-2.94,255.484,3.1102,54.6028,14,2,1,6,3,76,1,0,0,1,46.53,95.1403871106818,2.84193050247233,341.844291329387,1,0
"22",-4.14,249.31,3.1307,70.5227,18,3,1,4,6,98,1,0,0,1,55.4,107.337391647872,2.42614748724921,398.005060409677,1,0
"23",-3.52,277.368,2.5932,77.8389,20,3,2,5,8,110,1,0,0,1,71.09,119.693376831948,2.0945893591626,406.839469758305,1,0
"24",-1.84,236.267,2.7264,63.1083,17,3,1,4,5,92,1,0,0,1,63.6,100.216821102064,2.87862270589302,407.635418760107,1,0
"25",-3,255.484,3.1102,54.6028,14,2,1,6,3,76,1,0,0,1,46.53,95.1403871106818,2.90339048468302,365.094291329387,1,0
"26",-1.99,246.354,2.72624,74.8147,18,2,1,3,2,98,1,1,1,2,32.34,109.181268949392,2.10947984923134,421.869783860833,3,0
"27",-3.9,261.321,2.2923,71.7402,19,3,1,4,4,102,1,1,1,2,55.4,112.69650260874,1.72375550427389,424.276644092463,1,0
"28",-3.93,215.172,1.40986,55.3801,16,6,1,7,3,78,1,0,0,1,115.11,90.3796852378272,2.99868083651968,507.436261944095,1,0
"29",-4.4,270.372,3.5293,78.7066,20,2,2,2,0,106,1,2,3,4,40.46,119.692079503876,1.75609457967482,589.08106062781,1,0
